Ticker,Action (Buy/Sell),Position value,Stock price,Action volume ($USD Est.),New position ROI (%),Date recorded (publish date)
cmg,buy,8000.0,705.13,8000.0,1,2019-05-11
gpk,buy,8000.0,12.82,8000.0,1,2019-05-11
flt,buy,8000.0,265.87,8000.0,1,2019-05-11
mdt,buy,8000.0,82.52,8000.0,1,2019-05-11
cmcsa,buy,8000.0,40.41,8000.0,1,2019-05-11
grmn,buy,8000.0,73.26,8000.0,1,2019-05-11
keys,buy,8000.0,86.3,8000.0,1,2019-05-11
panw,buy,8000.0,238.48,8000.0,1,2019-05-11
azpn,buy,8000.0,117.27,8000.0,1,2019-05-11
wll,buy,8000.0,23.6,8000.0,1,2019-05-11
br,buy,8000.0,113.92,8000.0,1,2019-05-11
gwre,buy,8000.0,103.29,8000.0,1,2019-05-11
ssnc,buy,8000.0,56.78,8000.0,1,2019-05-11
ntap,buy,8000.0,62.26,8000.0,1,2019-05-11
wex,buy,8000.0,203.91,8000.0,1,2019-05-11
payc,buy,8000.0,210.55,8000.0,1,2019-05-11
fico,buy,8000.0,287.21,8000.0,1,2019-05-11
uri,buy,8000.0,133.39,8000.0,1,2019-05-11
hfc,buy,8000.0,40.24,8000.0,1,2019-05-11
aer,buy,8000.0,49.77,8000.0,1,2019-05-11
mgm,buy,8000.0,25.0,8000.0,1,2019-05-11
zen,buy,8000.0,87.26,8000.0,1,2019-05-11
gpn,buy,8000.0,145.14,8000.0,1,2019-05-11
gww,buy,8000.0,254.23,8000.0,1,2019-05-11
splk,buy,8000.0,134.19,8000.0,1,2019-05-11
antm,buy,8000.0,259.98,8000.0,1,2019-05-11
dal,buy,8000.0,55.1,8000.0,1,2019-05-11
sq,buy,8000.0,66.39,8000.0,1,2019-05-11
abmd,buy,8000.0,260.74,8000.0,1,2019-05-11
cah,buy,8000.0,44.78,8000.0,1,2019-05-11
brkr,buy,8000.0,41.88,8000.0,1,2019-05-11
leg,buy,8000.0,33.91,8000.0,1,2019-05-11
rng,buy,8000.0,123.7,8000.0,1,2019-05-11
team,buy,8000.0,129.97,8000.0,1,2019-05-11
msi,buy,8000.0,141.98,8000.0,1,2019-05-11
cat,buy,8000.0,122.15,8000.0,1,2019-05-11
has,buy,8000.0,92.35,8000.0,1,2019-05-11
aapl,buy,8000.0,48.24,8000.0,1,2019-05-11
bsx,buy,8000.0,37.07,8000.0,1,2019-05-11
clr,buy,8000.0,41.21,8000.0,1,2019-05-11
exc,buy,8000.0,31.38,8000.0,1,2019-05-11
algn,buy,8000.0,324.77,8000.0,1,2019-05-11
mro,buy,8000.0,14.68,8000.0,1,2019-05-11
luv,buy,8000.0,51.71,8000.0,1,2019-05-11
vrtx,buy,8000.0,169.36,8000.0,1,2019-05-11
hpq,buy,8000.0,17.54,8000.0,1,2019-05-11
ulta,buy,8000.0,347.01,8000.0,1,2019-05-11
lin,buy,8000.0,173.49,8000.0,1,2019-05-11
ctxs,buy,8000.0,93.48,8000.0,1,2019-05-11
fdx,buy,8000.0,172.27,8000.0,1,2019-05-11
fb,buy,8000.0,190.0,8000.0,1,2019-05-11
ecl,buy,8000.0,176.19,8000.0,1,2019-05-11
abt,buy,8000.0,72.97,8000.0,1,2019-05-11
rost,buy,8000.0,94.75,8000.0,1,2019-05-11
now,buy,8000.0,275.2,8000.0,1,2019-05-11
ctas,buy,8000.0,214.61,8000.0,1,2019-05-11
wday,buy,8000.0,204.23,8000.0,1,2019-05-11
wat,buy,8000.0,216.78,8000.0,1,2019-05-11
vfc,buy,8000.0,81.9,8000.0,1,2019-05-11
wba,buy,8000.0,47.71,8000.0,1,2019-05-11
dhr,buy,8000.0,130.75,8000.0,1,2019-05-11
ftnt,buy,8000.0,81.81,8000.0,1,2019-05-11
payx,buy,8000.0,77.36,8000.0,1,2019-05-11
ge,buy,8000.0,79.36,8000.0,1,2019-05-11
mck,buy,8000.0,130.82,8000.0,1,2019-05-11
tdg,buy,8000.0,422.44,8000.0,1,2019-05-11
pxd,buy,8000.0,140.33,8000.0,1,2019-05-11
qcom,buy,8000.0,77.93,8000.0,1,2019-05-11
a,buy,8000.0,75.36,8000.0,1,2019-05-11
chtr,buy,8000.0,378.3,8000.0,1,2019-05-11
glw,buy,8000.0,28.2,8000.0,1,2019-05-11
hum,buy,8000.0,240.52,8000.0,1,2019-05-11
bmy,buy,8000.0,42.96,8000.0,1,2019-05-11
iqv,buy,8000.0,134.51,8000.0,1,2019-05-11
cnc,buy,8000.0,54.74,8000.0,1,2019-05-11
mtd,buy,8000.0,741.67,8000.0,1,2019-05-11
biib,buy,8000.0,228.5,8000.0,1,2019-05-11
slb,buy,8000.0,36.51,8000.0,1,2019-05-11
jpm,buy,8000.0,104.01,8000.0,1,2019-05-11
v,buy,8000.0,158.44,8000.0,1,2019-05-11
wfc,buy,8000.0,42.92,8000.0,1,2019-05-11
ew,buy,8000.0,60.45,8000.0,1,2019-05-11
googl,buy,8000.0,1176.28,8000.0,1,2019-05-11
nee,buy,8000.0,44.29,8000.0,1,2019-05-11
amzn,buy,8000.0,1903.79,8000.0,1,2019-05-11
jnj,buy,8000.0,128.63,8000.0,1,2019-05-11
ba,buy,8000.0,341.36,8000.0,1,2019-05-11
zts,buy,8000.0,100.92,8000.0,1,2019-05-11
orly,buy,8000.0,368.62,8000.0,1,2019-05-11
cme,buy,8000.0,171.76,8000.0,1,2019-05-11
acn,buy,8000.0,168.95,8000.0,1,2019-05-11
emr,buy,8000.0,61.68,8000.0,1,2019-05-11
fdx,buy,16000.0,172.86,16000.0,1.0,2019-05-11
fisv,buy,8000.0,84.69,8000.0,1,2019-05-11
t,buy,8000.0,17.45,8000.0,1,2019-05-11
ci,buy,32500.0,155.83,32500.0,1,2019-05-11
eog,buy,32500.0,85.09,32500.0,1,2019-05-11
dis,buy,32500.0,132.7,32500.0,1,2019-05-11
cvs,buy,32500.0,51.19,32500.0,1,2019-05-11
intu,buy,32500.0,241.81,32500.0,1,2019-05-11
msft,buy,75000.0,124.7,75000.0,1,2019-05-11
abbv,buy,32500.0,66.7,32500.0,1,2019-05-11
mro,sell,8000.0,12.97,8000.0,0.88,2019-06-12
pxd,sell,8000.0,134.68,8000.0,0.96,2019-06-12
glw,sell,8000.0,29.03,8000.0,1.03,2019-06-12
payx,sell,8000.0,82.09,8000.0,1.06,2019-06-12
slb,sell,8000.0,33.18,8000.0,0.91,2019-06-12
cat,sell,8000.0,120.75,8000.0,0.99,2019-06-12
ci,sell,24500.0,155.55,24500.0,1.0,2019-06-12
fdx,sell,6560.0,157.8,8000.0,0.91,2019-06-12
zts,sell,8000.0,109.94,8000.0,1.09,2019-06-12
abt,sell,8000.0,77.91,8000.0,1.07,2019-06-12
cmcsa,sell,32500.0,39.47,32500.0,0.98,2019-06-12
v,sell,32500.0,169.28,32500.0,1.07,2019-06-12
hca,buy,8000.0,124.32,8000.0,1,2019-06-12
adbe,buy,8000.0,284.89,8000.0,1,2019-06-12
kr,buy,8000.0,23.0,8000.0,1,2019-06-12
keys,buy,15600.0,82.36,16000.0,0.95,2019-06-12
abmd,buy,16560.0,279.69,16000.0,1.07,2019-06-12
rop,buy,8000.0,361.98,8000.0,1,2019-06-12
usb,buy,8000.0,48.02,8000.0,1,2019-06-12
dal,buy,15760.0,53.61,16000.0,0.97,2019-06-12
rost,buy,16240.0,97.42,16000.0,1.03,2019-06-12
rtx,buy,8000.0,75.22,8000.0,1,2019-06-12
adi,buy,8000.0,100.7,8000.0,1,2019-06-12
mkc,buy,8000.0,75.33,8000.0,1,2019-06-12
amzn,buy,15920.0,1893.7,16000.0,0.99,2019-06-12
hpq,buy,16400.0,18.38,16000.0,1.05,2019-06-12
aph,buy,8000.0,45.63,8000.0,1,2019-06-12
disca,buy,8000.0,28.25,8000.0,1,2019-06-12
mdlz,buy,8000.0,51.65,8000.0,1,2019-06-12
klac,buy,8000.0,112.25,8000.0,1,2019-06-12
it,buy,8000.0,159.02,8000.0,1,2019-06-12
amat,buy,8000.0,42.07,8000.0,1,2019-06-12
swk,buy,8000.0,133.9,8000.0,1,2019-06-12
txn,buy,8000.0,107.73,8000.0,1,2019-06-12
ip,buy,8000.0,36.37,8000.0,1,2019-06-12
mchp,buy,8000.0,40.6,8000.0,1,2019-06-12
mo,buy,8000.0,41.43,8000.0,1,2019-06-12
lbrda,buy,8000.0,101.68,8000.0,1,2019-06-12
ulta,buy,15920.0,341.89,16000.0,0.99,2019-06-12
unp,buy,8000.0,159.63,8000.0,1,2019-06-12
adm,buy,8000.0,36.98,8000.0,1,2019-06-12
fb,buy,15600.0,179.98,16000.0,0.95,2019-06-12
vtrs,buy,8000.0,17.45,8000.0,1,2019-06-12
mar,buy,8000.0,133.96,8000.0,1,2019-06-12
el,buy,8000.0,173.18,8000.0,1,2019-06-12
