Publish date,Trade date,Ticker,Action (Buy/Sell),Est. value,Stock price (Publish date)
2019-05-11,2019-04-29,reg,sell,8000.0,57.65
2019-05-11,2019-04-29,fis,sell,8000.0,112.7
2019-05-11,2019-04-29,wec,sell,8000.0,71.14
2019-05-11,2019-04-29,icpt,sell,8000.0,83.9
2019-05-11,2019-04-29,nlsn,sell,8000.0,22.77
2019-05-11,2019-04-29,jwn,sell,8000.0,37.71
2019-05-11,2019-04-29,crl,sell,8000.0,136.68
2019-05-11,2019-04-29,alb,sell,8000.0,69.55
2019-05-11,2019-04-29,ads,sell,8000.0,142.68
2019-05-11,2019-04-29,mac,sell,8000.0,33.57
2019-05-11,2019-04-29,duk,sell,8000.0,76.72
2019-05-11,2019-04-29,sgen,sell,8000.0,67.86
2019-05-11,2019-04-29,gddy,sell,8000.0,78.32
2019-05-11,2019-04-29,lumn,sell,8000.0,8.43
2019-05-11,2019-04-29,uhs,sell,8000.0,122.47
2019-05-11,2019-04-29,gpc,sell,8000.0,89.93
2019-05-11,2019-04-29,adp,sell,8000.0,151.55
2019-05-11,2019-04-29,noc,sell,8000.0,286.32
2019-05-11,2019-04-29,rsg,sell,8000.0,78.52
2019-05-11,2019-04-29,expe,sell,8000.0,119.11
2019-05-11,2019-04-29,md,sell,8000.0,29.76
2019-05-11,2019-04-29,bbwi,sell,8000.0,18.28
2019-05-11,2019-04-29,hal,sell,8000.0,24.52
2019-05-11,2019-04-29,oxy,sell,8000.0,51.5
2019-05-11,2019-04-29,intc,sell,8000.0,43.3
2019-05-11,2019-04-29,ions,sell,8000.0,67.36
2019-05-11,2019-04-29,ko,sell,8000.0,43.11
2019-05-11,2019-04-29,ge,sell,8000.0,79.36
2019-05-11,2019-04-29,syy,sell,8000.0,68.09
2019-05-11,2019-04-29,rmd,sell,8000.0,106.59
2019-05-11,2019-04-29,vmw,sell,8000.0,164.51
2019-05-11,2019-04-29,ttwo,sell,8000.0,102.12
2019-05-11,2019-04-29,pki,sell,8000.0,92.0
2019-05-11,2019-04-29,ibm,sell,8000.0,110.54
